FILE OFFSET 	DATA 	DESCRIPTION
(DECIMAL) 	TYPE*

00		byte	not used
1 		byte 	Duty Status. 0=Alive, 1=Captured, 2=Killed
2 		byte 	Rank. (value 00 - 05: { CADET, OFFICER, LIEUTENANT, CAPTAIN, COMMANDER, GENERAL })
3 		byte 	Difficulty Level. 0=easy -> 2=hard
4 		long 	Score.
8 		word 	Skill Level. 0=Novice -> 65535=Super Ace
10 		byte 	Secret Order Ranking. (value 00 - 09: { None, FIRST_INITIATE, SECOND_CIRCLE, THIRD_CIRCLE, FOURTH_CIRCLE, INNER_CIRCLE, EMPERORS_HAND, EMPERORS_EYES, EMPERORS_VOICE, EMPERORS_REACH})

12-13		???	(changed from 2 to 3)
14-15		???	(changed from 41462 to 48076)

29-35 		byte 	Next Training Level. off 29=T/F -> off 34=T/D **
42-62 		long 	Training Scores. off 42=T/F -> 62=T/D **
90-96 		byte 	Total Training Levels Completed. off 90=T/F -> 95=T/D **, 96 = Missleboat (TF, TI, TB, TA, Gun, TD, MB) (02 - Not Copleted, 03 - ? , 04 - Certificate)
97-135		???	???
136-164 	long 	T/F Historical Scores. 136=Mission1 -> 164=Mission8 ***
168-196 	long 	T/I Historical Scores. 168=Mission1 -> 196=Mission8 ***
200-228 	long 	T/B Historical Scores. 200=Mission1 -> 228=Mission8 ***
232-260 	long 	T/A Historical Scores. 232=Mission1 -> 260=Mission8 ***
264-292 	long 	GUN Historical Scores. 264=Mission1 -> 292=Mission8 ***
296-324 	long 	T/D Historical Scores. 296=Mission1 -> 324=Mission8 ***

328-519		???	Empty

520-527 	byte 	T/F Historical Completion Flags. 0=Not Done, 1=Done *** Medals for Fightsimulation. Every ship has 4 missions, default value: 00, completed: 01. With 2 completed you gain bronze, then silver, then gold medals.
528-535 	byte 	T/I Historical Completion Flags. 0=Not Done, 1=Done ***
536-543 	byte 	T/B Historical Completion Flags. 0=Not Done, 1=Done ***
544-551 	byte 	T/A Historical Completion Flags. 0=Not Done, 1=Done ***
552-559 	byte 	GUN Historical Completion Flags. 0=Not Done, 1=Done ***
560-567 	byte 	T/D Historical Completion Flags. 0=Not Done, 1=Done ***
568-575		byte	MB  Historical Completion Flags.

576-615		???	Empty

616		byte	Active Battle
617 		byte 	Battle 1 Status. 0=Inactive, 1=Active, 2=Pending, 3=Done
618 		byte 	Battle 2 Status. 0=Inactive, 1=Active, 2=Pending, 3=Done
619 		byte 	Battle 3 Status. 0=Inactive, 1=Active, 2=Pending, 3=Done
620 		byte 	Battle 4 Status. 0=Inactive, 1=Active, 2=Pending, 3=Done
621 		byte 	Battle 5 Status. 0=Inactive, 1=Active, 2=Pending, 3=Done
622 		byte 	Battle 6 Status. 0=Inactive, 1=Active, 2=Pending, 3=Done
623 		byte 	Battle 7 Status. 0=Inactive, 1=Active, 2=Pending, 3=Done
624 		byte 	Battle 8 Status. 0=Inactive, 1=Active, 2=Pending, 3=Done
625 		byte 	Battle 9 Status. 0=Inactive, 1=Active, 2=Pending, 3=Done
626 		byte 	Battle 10 Status. 0=Inactive, 1=Active, 2=Pending, 3=Done
627 		byte 	Battle 11 Status. 0=Inactive, 1=Active, 2=Pending, 3=Done
628 		byte 	Battle 12 Status. 0=Inactive, 1=Active, 2=Pending, 3=Done
629 		byte 	Battle 13 Status. 0=Inactive, 1=Active, 2=Pending, 3=Done

630-636		???	Empty

637 		byte 	Battle 1 Last Mission Completed. 0=None, 1=Mission1...
638 		byte 	Battle 2 Last Mission Completed. 0=None, 1=Mission1...
639 		byte 	Battle 3 Last Mission Completed. 0=None, 1=Mission1...
640 		byte 	Battle 4 Last Mission Completed. 0=None, 1=Mission1...
641 		byte 	Battle 5 Last Mission Completed. 0=None, 1=Mission1...
642 		byte 	Battle 6 Last Mission Completed. 0=None, 1=Mission1...
643 		byte 	Battle 7 Last Mission Completed. 0=None, 1=Mission1...
644 		byte 	Battle 8 Last Mission Completed. 0=None, 1=Mission1...
645 		byte 	Battle 9 Last Mission Completed. 0=None, 1=Mission1...
646 		byte 	Battle 10 Last Mission Completed. 0=None, 1=Mission1...
647 		byte 	Battle 11 Last Mission Completed. 0=None, 1=Mission1...
648 		byte 	Battle 12 Last Mission Completed. 0=None, 1=Mission1...
649 		byte 	Battle 13 Last Mission Completed. 0=None, 1=Mission1...

650-985		???	Data at 913 (decimal value of 11)

